Front,Back,Tags
"Elige: ausbringen / mitbringen / beibringen / zurückbringen<br><br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ___.","ausbringen<br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen.<br>ausbringen = transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)<br>Construcción: ausbringen + Akkusativobjekt",verb_prefix family::bringen prefix::aus separability::separable difficulty::b1 register::domain-specific source::wiktionary_openai quality::ok cardtype::contrast
Elige: zurückbringen / ausbringen / herbringen / beibringen<br><br>Zum Glück konnte ich Zeugen für den Unfall ___.,"beibringen<br>Zum Glück konnte ich Zeugen für den Unfall beibringen.<br>beibringen = proveer, aportar<br>Construcción: etwas (Akkusativ) beibringen jemandem (Dativ)",verb_prefix family::bringen prefix::bei separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: zubringen / zurückbringen / einbringen / nachbringen<br><br>Das Schiff wurde in den Hafen ___.,"einbringen<br>Das Schiff wurde in den Hafen eingebracht.<br>einbringen = introducir, aportar (por ejemplo, beneficios)<br>Construcción: einbringen + Akkusativobjekt",verb_prefix family::bringen prefix::ein separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: erbringen / weiterbringen / zubringen / herbringen<br><br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" ___.","erbringen<br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.<br>erbringen = producir o realizar algo necesario o esperado<br>Construcción: erbringen + Akkusativobjekt",verb_prefix family::bringen prefix::er separability::inseparable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::contrast
Elige: zurückbringen / erbringen / fortbringen / zubringen<br><br>Die gesamte Ausrüstung wurde ___ .,fortbringen<br>Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht.<br>fortbringen = transportar o retirar algo<br>Construcción: transitiv + Akkusativobjekt,verb_prefix family::bringen prefix::fort separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::contrast
Elige: hinbringen / erbringen / fortbringen / herbringen<br><br>Bring mir mal das Bier ___!,herbringen<br>Bring mir mal das Bier her!<br>herbringen = traer algo hacia el hablante<br>Construcción: herbringen + Akkusativobjekt,verb_prefix family::bringen prefix::her separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: hinbringen / erbringen / zubringen / ausbringen<br><br>Kannst du das Päckchen zum Bahnhof ___?,hinbringen<br>Kannst du das Päckchen zum Bahnhof hinbringen?<br>hinbringen = transportar algo a un lugar<br>Construcción: hinbringen + Akkusativobjekt,verb_prefix family::bringen prefix::hin separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: wegbringen / zurückbringen / mitbringen / zusammenbringen<br><br>Würdest du mir bitte etwas aus der Stadt ___?,mitbringen<br>Würdest du mir bitte etwas aus der Stadt mitbringen?<br>mitbringen = traer<br>Construcción: mitbringen + Akkusativobjekt,verb_prefix family::bringen prefix::mit separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
"Elige: nachbringen / verbringen / zurückbringen / zubringen<br><br>Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich ___.","nachbringen<br>Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.<br>nachbringen = entregar a alguien algo que ha olvidado o dejado atrás<br>Construcción: nachbringen + Akkusativobjekt (etwas) + Dativobjekt (jemandem)",verb_prefix family::bringen prefix::nach separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
Elige: verbringen / beibringen / hinbringen / erbringen<br><br>Er hat den Sommer am Meer ___ .,verbringen<br>Er hat den Sommer am Meer verbracht.<br>verbringen = pasar tiempo<br>Construcción: verbringen + Akkusativ (Zeit),verb_prefix family::bringen prefix::ver separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::contrast
