Front,Back,Tags
"Completa el prefijo:<br><br>Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ___bringen.","<div class=""answer"">aus</div><div class=""example"">Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen.</div><p><b>ausbringen</b> = transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>transportar o distribuir algo hacia afuera, especialmente en agricultura (semillas, fertilizante)</p><div class=""translation""><b>Traducción:</b><br>Sin los caballos será difícil porque no podremos sembrar semillas en primavera.</div><p><b>Separabilidad:</b><br>separable — bringt ... aus — ausgebracht</p><p><b>Perfekt:</b><br>Er hat den Dünger ausgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/ausbringen</p></div>",verb_prefix family::bringen prefix::aus separability::separable difficulty::b1 register::domain-specific source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Zum Glück konnte ich Zeugen für den Unfall ___bringen.,"<div class=""answer"">bei</div><div class=""example"">Zum Glück konnte ich Zeugen für den Unfall beibringen.</div><p><b>beibringen</b> = proveer, aportar</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>proveer, aportar</p><div class=""translation""><b>Traducción:</b><br>Por suerte pude aportar testigos para el accidente.</div><p><b>Construcción:</b><br>etwas (Akkusativ) beibringen jemandem (Dativ)</p><p><b>Construcción ES:</b><br>proveer algo (acusativo) a alguien (dativo)</p><p><b>Separabilidad:</b><br>separable — bringt ... bei — beigebracht</p><p><b>Perfekt:</b><br>Ich habe dir Deutsch beigebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/beibringen</p></div>",verb_prefix family::bringen prefix::bei separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Das Schiff wurde in den Hafen ___gebracht.,"<div class=""answer"">ein</div><div class=""example"">Das Schiff wurde in den Hafen eingebracht.</div><p><b>einbringen</b> = introducir, aportar (por ejemplo, beneficios)</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>introducir, aportar (por ejemplo, beneficios)</p><div class=""translation""><b>Traducción:</b><br>El barco fue introducido en el puerto.</div><p><b>Separabilidad:</b><br>separable — bringt ... ein — eingebracht</p><p><b>Perfekt:</b><br>Sie hat viele Vorschläge eingebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/einbringen</p></div>",verb_prefix family::bringen prefix::ein separability::separable difficulty::b2 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
"Completa el prefijo:<br><br>Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" ___bringen.","<div class=""answer"">er</div><div class=""example"">Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.</div><p><b>erbringen</b> = producir o realizar algo necesario o esperado</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>producir o realizar algo necesario o esperado</p><div class=""translation""><b>Traducción:</b><br>Los manifestantes quieren así simbolizar el ""sacrificio por la democracia"".</div><p><b>Separabilidad:</b><br>inseparable — erbringt — erbracht</p><p><b>Perfekt:</b><br>Die Firma hat die vereinbarten Dienstleistungen erbracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/erbringen</p></div>",verb_prefix family::bringen prefix::er separability::inseparable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde ___gebracht.,"<div class=""answer"">fort</div><div class=""example"">Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht.</div><p><b>fortbringen</b> = transportar o retirar algo</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>transportar o retirar algo</p><div class=""translation""><b>Traducción:</b><br>La estación de televisión había sido ocupada y todo el equipo fue retirado.</div><p><b>Separabilidad:</b><br>separable — bringt ... fort — fortgebracht</p><p><b>Perfekt:</b><br>Die Firma hat die Ausrüstung fortgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/fortbringen</p></div>",verb_prefix family::bringen prefix::fort separability::separable difficulty::b2 register::formal source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Bring mir mal das Bier ___!,"<div class=""answer"">her</div><div class=""example"">Bring mir mal das Bier her!</div><p><b>herbringen</b> = traer algo hacia el hablante</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>traer algo hacia el hablante</p><div class=""translation""><b>Traducción:</b><br>¡Tráeme la cerveza aquí!</div><p><b>Separabilidad:</b><br>separable — bringt ... her — hergebracht</p><p><b>Perfekt:</b><br>du hast hergebracht</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/herbringen</p></div>",verb_prefix family::bringen prefix::her separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Kannst du das Päckchen zum Bahnhof ___bringen?,"<div class=""answer"">hin</div><div class=""example"">Kannst du das Päckchen zum Bahnhof hinbringen?</div><p><b>hinbringen</b> = transportar algo a un lugar</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>transportar algo a un lugar</p><div class=""translation""><b>Traducción:</b><br>¿Puedes llevar el paquete a la estación?</div><p><b>Separabilidad:</b><br>separable — bringst ... hin — hingebracht</p><p><b>Perfekt:</b><br>Du hast das Päckchen zum Bahnhof hingebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/hinbringen</p></div>",verb_prefix family::bringen prefix::hin separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Würdest du mir bitte etwas aus der Stadt ___bringen?,"<div class=""answer"">mit</div><div class=""example"">Würdest du mir bitte etwas aus der Stadt mitbringen?</div><p><b>mitbringen</b> = traer</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>traer</p><div class=""translation""><b>Traducción:</b><br>¿Podrías traerme algo de la ciudad, por favor?</div><p><b>Separabilidad:</b><br>separable — bringt ... mit — mitgebracht</p><p><b>Perfekt:</b><br>Er hat seine Gitarre mitgebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/mitbringen</p></div>",verb_prefix family::bringen prefix::mit separability::separable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Er hat den Sommer am Meer ___bracht.,"<div class=""answer"">ver</div><div class=""example"">Er hat den Sommer am Meer verbracht.</div><p><b>verbringen</b> = pasar tiempo</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>pasar tiempo</p><div class=""translation""><b>Traducción:</b><br>Él pasó el verano en el mar.</div><p><b>Construcción:</b><br>verbringen + Akkusativ (Zeit)</p><p><b>Construcción ES:</b><br>verbringen + acusativo (tiempo)</p><p><b>Separabilidad:</b><br>inseparable — verbringt — verbracht</p><p><b>Perfekt:</b><br>Er hat den Sommer am Meer verbracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/verbringen</p></div>",verb_prefix family::bringen prefix::ver separability::inseparable difficulty::b1 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
Completa el prefijo:<br><br>Kannst du bitte das Altpapier ___bringen?,"<div class=""answer"">weg</div><div class=""example"">Kannst du bitte das Altpapier wegbringen?</div><p><b>wegbringen</b> = llevarse algo, quitar algo</p><p><b>Base:</b> bringen</p><div class=""meta""><p><b>Significado:</b><br>llevarse algo, quitar algo</p><div class=""translation""><b>Traducción:</b><br>¿Puedes por favor llevarte el papel viejo?</div><p><b>Separabilidad:</b><br>separable — bringt ... weg — weggebracht</p><p><b>Perfekt:</b><br>Sie hat den Müll weggebracht.</p><p><b>Fuente:</b><br>https://de.wiktionary.org/wiki/wegbringen</p></div>",verb_prefix family::bringen prefix::weg separability::separable difficulty::a2 register::common source::wiktionary_openai quality::ok cardtype::prefix_cloze
