base,derived,prefix,separability,pos,gloss_de,gloss_es,gloss_en,example,wiktionary_url
bringen,abbringen,ab-,separable,Verb,"umgangssprachlich : etwas entfernen , lösen jemanden/etwas von etwas abbringen: jemanden/etwas dazu bringen, einen bereits eingeschlagenen Kurs, Weg zu verlassen jemanden von etwas abbringen: jemanden dazu bringen, einer Absicht , einem Vorhaben nicht nachzugehen beziehungsweise einen Standpunkt , eine Meinung aufzugeben",,,Bringst du den Fleck hier ab?,https://de.wiktionary.org/wiki/abbringen
bringen,anbringen,an-,separable,Verb,"etwas (unerfreulicherweise) herbringen einen Gedankengang zu einem bestimmten Thema äußern etwas an einer Stelle befestigen (Kleidung) anziehen können (ein Gerät, eine Maschine) starten, zum Laufen bringen, einschalten können • Diese Bedeutungsangabe muss überarbeitet werden. — Kommentar: mehrere Bedeutungen fehlen noch",,,Was bringst denn du immer für wertloses Zeug an?,https://de.wiktionary.org/wiki/anbringen
bringen,aufbringen,auf-,separable,Verb,"mit „gegen“ in Bezug auf eine Person: jemanden ärgerlich machen Nautik : ein fremdes Schiff besetzen (durch Piraterie oder per hoheitsrechtlichem Akt ) umgangssprachlich : etwas Neues verbreiten etwas beschaffen Technik : etwas auf einen Untergrund applizieren umgangssprachlich : nur mit Mühe öffnen/aufmachen können veraltete Bedeutung : beim Erwachsenwerden begleiten, versorgen und erziehen",,,Mit seiner großen Klappe brachte er alle Menschen in seiner Umgebung gegen sich auf.,https://de.wiktionary.org/wiki/aufbringen
bringen,ausbringen,aus-,separable,Verb,"Landwirtschaft : nach draußen schaffen ( bringen ), verteilen/ausstreuen in bestimmten Kombinationen, zum Beispiel mit Toast oder Hoch : aussprechen, zelebrieren Bergbau : (aus Gestein) gewinnen Seemannssprache : zu Wasser lassen von zum Beispiel Beibooten oder Fischfangnetzen veraltete Bedeutung : öffentlich machen umgangssprachlich , über Kleidung, Schuhe : ausziehen, ablegen fachsprachlich , Druck : die Textlänge, gerechnet in Zeilen, verlängern, indem anders gesetzt wird und so Raum geschaffen wird amtssprachlich : öffentlich darstellen, bekanntmachen Rechtswesen : veranlassen, dass etwas geschieht",,,"Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen .",https://de.wiktionary.org/wiki/ausbringen
bringen,beibringen,bei-,separable,Verb,"etwas herbeiholen, beschaffen (als Beleg, Beweis für etwas) jemandem etwas Schlechtes zufügen erläutern, zeigen, wie etwas gemacht wird, so dass es der Betreffende dann kann, ebenso macht etwas Unangenehmes vorsichtig, diplomatisch mitteilen",,,Zum Glück konnte ich Zeugen für den Unfall beibringen.,https://de.wiktionary.org/wiki/beibringen
bringen,durchbringen,durch-,ambiguous,Verb,"transitiv : erfolgreich durch eine Engstelle bewegen können transitiv : ohne Beanstandung (heimlich) durch eine Kontrolle schaffen transitiv : einem Kandidaten, Bewerber, Prüfling oder Ähnlichem zum Erfolg verhelfen transitiv : erreichen, dass etwas genehmigt wird transitiv oder reflexiv : mit Mühe für den Lebensunterhalt sorgen transitiv : durch medizinische Versorgung/Pflege einem Kranken das Leben erhalten transitiv : (Ressourcen, insbesondere Geld) leichtsinnig, planlos, in großem Stil zum eigenen Vergnügen aufbrauchen",,,"Der Flur ist sehr schmal, hoffentlich bringen wir das Klavier da durch!",https://de.wiktionary.org/wiki/durchbringen
bringen,einbringen,ein-,separable,Verb,"in etwas befördern , tragen , bringen ; auch: landwirtschaftliche Einträge vom Feld holen einen Entlaufenden einfangen etwas hinzubringen , beisteuern , vorschlagen (jemandem) einen bestimmten Nutzen , Gewinn oder Verlust verschaffen etwas einholen , ausgleichen , was verloren gegangen, verpasst wurde reflexiv : (bei einem Gespräch , in einer Gruppe , in einem Fachgebiet ) sich auf bestimmt Weise einsetzen oder beteiligen",,,Das Schiff wurde in den Hafen eingebracht.,https://de.wiktionary.org/wiki/einbringen
bringen,erbringen,er-,inseparable,Verb,"transitiv : ein Resultat hervorbringen, ein Ergebnis liefern einen wirtschaftlichen Gewinn erzeugen / abwerfen finanzielle Mittel aufbringen ( zahlen ) Recht und Schriftdeutsch ; als Wortverbindung mit einem Substantiv, meist in verstärkender Bedeutung (zum Beispiel: „einen Beweis erbringen“ im Sinne von und statt „beweisen“): ein Faktum zur Wahrheitsfindung beisteuern",,,"Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.",https://de.wiktionary.org/wiki/erbringen
bringen,fortbringen,fort-,separable,Verb,"vom Aufenthaltsort wegbringen (an einen unbekannten Ort) unter Anstrengung, mit Kraft von der Stelle schaffen",,,Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht .,https://de.wiktionary.org/wiki/fortbringen
bringen,herbringen,her-,separable,Verb,etwas von einer Stelle zum Sprecher hin bringen,,,Bring mir mal das Bier her!,https://de.wiktionary.org/wiki/herbringen
