base,derived,sense_id,prefix,separability,pos,gloss_de,gloss_es,gloss_en,example,example_de,example_es,example_en,example_de_with_blank,answer,present_example_de,perfect_example_de,construction,construction_es,register,difficulty,frequency_bucket,is_reflexive,takes_accusative,takes_dative,fixed_preposition,present_3sg,perfect_auxiliary,participle_ii,separable_sentence_pattern,is_quality_ok,quality_flags,anki_hint_es,wiktionary_url,source
bringen,abbringen,1,ab-,separable,Verb,transitiv :,apartar,remove,Bringst du den Fleck hier ab?,Bringst du den Fleck hier ab?,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/abbringen,wiktionary
bringen,anbringen,1,an-,separable,Verb,transitiv :,traer,bring up,Was bringst denn du immer für wertloses Zeug an?,Was bringst denn du immer für wertloses Zeug an?,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/anbringen,wiktionary
bringen,aufbringen,1,auf-,separable,Verb,mit „gegen“ in Bezug auf eine Person: jemanden ärgerlich machen,enojar,upset,Mit seiner großen Klappe brachte er alle Menschen in seiner Umgebung gegen sich auf.,Mit seiner großen Klappe brachte er alle Menschen in seiner Umgebung gegen sich auf.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/aufbringen,wiktionary
bringen,ausbringen,1,aus-,separable,Verb,"Landwirtschaft : nach draußen schaffen ( bringen ), verteilen/ausstreuen",,,"Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen .","Ohne die Pferde wird es schwierig werden, denn wir können dann im Frühjahr keine Saat ausbringen .",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/ausbringen,wiktionary
bringen,beibringen,1,bei-,separable,Verb,"etwas herbeiholen, beschaffen (als Beleg, Beweis für etwas)",proveer,"provide, produce",Zum Glück konnte ich Zeugen für den Unfall beibringen.,Zum Glück konnte ich Zeugen für den Unfall beibringen.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/beibringen,wiktionary
bringen,einbringen,1,ein-,separable,Verb,transitiv :,rendir,introduce,Das Schiff wurde in den Hafen eingebracht.,Das Schiff wurde in den Hafen eingebracht.,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/einbringen,wiktionary
bringen,erbringen,1,er-,inseparable,Verb,transitiv :,"producir, realizar, crear","raise, yield, come up with the goods, produce","Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.","Die Protestierenden wollen damit symbolisch ""ein Opfer für die Demokratie"" erbringen.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/erbringen,wiktionary
bringen,fortbringen,1,fort-,separable,Verb,transitiv :,,,Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht .,Die Fernsehstation war inzwischen besetzt worden und die gesamte Ausrüstung wurde fortgebracht .,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/fortbringen,wiktionary
bringen,herbringen,1,her-,separable,Verb,etwas von einer Stelle zum Sprecher hin bringen,traer,"bring, get",Bring mir mal das Bier her!,Bring mir mal das Bier her!,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/herbringen,wiktionary
bringen,hinbringen,1,hin-,separable,Verb,transitiv :,,,Kannst du das Päckchen zum Bahnhof hinbringen ?,Kannst du das Päckchen zum Bahnhof hinbringen ?,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/hinbringen,wiktionary
bringen,mitbringen,1,mit-,separable,Verb,"etwas bei sich führen, um es da, wo man hinkommt, weiterzugeben",traer,"bring along, bring",Würdest du mir bitte etwas aus der Stadt mitbringen?,Würdest du mir bitte etwas aus der Stadt mitbringen?,,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/mitbringen,wiktionary
bringen,nachbringen,1,nach-,separable,Verb,"transitiv : jemandem folgen und ihm etwas übergeben, das dieser vergessen, liegen gelassen hat",,,"Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.","Der Kellner war so freundlich, mir meinen vergessenen Schirm gleich nachzubringen.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_gloss_en"", ""missing_gloss_es"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/nachbringen,wiktionary
bringen,verbringen,1,ver-,inseparable,Verb,transitiv :,"dedicar, pasar, veranear","acquire, squander, dissipate in luxury, guzzle, spend, accomplish, achieve, manage, perform, compass, carry, transport, feed, bring, bring up, to, get, deliver, mislay, misplace, pass, time, holiday, vacation, aestivate, summer","[1d] Der Marschall hat die entwendeten Briefe, die er ihm aus der Brust zog, damit ein anderer sie nicht verbrächte noch verwendte, bis zur weiteren Erkundigung zu sich genommen.","[1d] Der Marschall hat die entwendeten Briefe, die er ihm aus der Brust zog, damit ein anderer sie nicht verbrächte noch verwendte, bis zur weiteren Erkundigung zu sich genommen.",,,,,,,,,unknown,unknown,unknown,False,,,,,,,,False,"[""long_example"", ""metadata_gloss"", ""missing_answer"", ""missing_construction"", ""missing_example_de_with_blank"", ""missing_participle_ii"", ""missing_perfect_auxiliary"", ""missing_present_3sg""]",,https://de.wiktionary.org/wiki/verbringen,wiktionary
